item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	merchant-shipping-group	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
TheTidbit Classic Woven Handmade Jute Sling Bag for Women & Girls | Elegant & Eco-Friendly Crossbody Purse | Small & Lightweight Handbag for Shopping, Travel & College (Black)	Looking for a thoughtful and stylish gift? TheTidbit Classic Woven Handmade Jute Sling Bag is a perfect blend of elegance, practicality, and eco-conscious design, making it an ideal gift for women and girls. Crafted from high-quality natural jute, this lightweight crossbody bag features a beautiful woven texture and a secure flap closure. The compact yet functional interior comfortably fits daily essentials like a mobile phone, wallet, keys, and small accessories. Designed for everyday convenience, the adjustable crossbody strap allows comfortable shoulder or crossbody wear. Whether for shopping, travel, college, or casual outings, this stylish jute sling bag complements both ethnic and western outfits while adding a sustainable touch to any wardrobe.	0303FRONMZK	0M-TJA5-1GVN	599	10	2025-03-03 22:52:17 IST		y	1			11				B0DZ33FV1R						B0DZ33FV1R			0	DEFAULT														Migrated Template								1199.0
TheTidbit Cotton Rope Tote Bag, Braided Handle Handbag (Black)	TheTidbit handmade jute tote bag for women is designed for those who prefer style with sustainability. Made from premium natural jute, this eco-friendly handbag is durable, lightweight, and reusable. The bag features strong twisted rope handles for comfortable carrying and a secure zipper closure to keep your belongings safe. Its spacious interior makes it perfect for daily essentials such as mobile phone, wallet, makeup items, books, and accessories. This jute handbag is suitable for office use, shopping, college, casual outings, and travel. Each bag is handcrafted by skilled artisans, making every piece unique. Choose an environmentally conscious lifestyle with this sustainable and stylish jute tote bag from TheTidbit.	0404FGNUBVV	5B-HSLN-PWD2-BLACK	799	10	2025-04-04 17:14:30 IST		y	1			11				B0F3P9NT5R						B0F3P9NT5R			0	DEFAULT														Migrated Template								1299.0
TheTidbit Cotton Rope Tote Bag, Braided Handle Handbag (Purple)	TheTidbit handmade jute tote bag for women is designed for those who prefer style with sustainability. Made from premium natural jute, this eco-friendly handbag is durable, lightweight, and reusable. The bag features strong twisted rope handles for comfortable carrying and a secure zipper closure to keep your belongings safe. Its spacious interior makes it perfect for daily essentials such as mobile phone, wallet, makeup items, books, and accessories. This jute handbag is suitable for office use, shopping, college, casual outings, and travel. Each bag is handcrafted by skilled artisans, making every piece unique. Choose an environmentally conscious lifestyle with this sustainable and stylish jute tote bag from TheTidbit.	0404FGK0DXB	5B-HSLN-PWD2-PURPLE	799	10	2025-04-04 17:14:30 IST		y	1			11				B0F3P8MM97						B0F3P8MM97			0	DEFAULT														Migrated Template								1299.0
TheTidbit Handmade Jute Handbag for Women | Eco Friendly Shoulder Bag with Fringe Design | Lightweight Handcrafted Jute Purse for Daily & Casual Use (Pink)	TheTidbit presents a beautifully handcrafted jute handbag designed for women who appreciate sustainable and stylish fashion. Made from 100% natural jute, this eco-friendly handbag is lightweight, durable, and perfect for everyday use. The elegant purple color combined with handcrafted striped detailing and fringe accents adds a unique and fashionable touch. Its spacious interior allows you to carry daily essentials such as mobile phone, wallet, keys, cosmetics, and more with ease. Designed for comfort and versatility, this jute shoulder bag is ideal for office, college, shopping, casual outings, travel, and gifting. Choose TheTidbit jute bags to embrace eco-conscious fashion with timeless style.	0303FRBISZF	5Z-ZXQ0-8E8V	799	5	2025-03-03 19:24:05 IST		y	1			11				B0DZ2TQS3J						B0DZ2TQS3J			0	DEFAULT														Selected Self-Ship Template								1199.0
TheTidbit Handmade Jute Handbag for Women | Eco Friendly Shoulder Bag with Fringe Design | Lightweight Handcrafted Jute Purse for Daily & Casual Use (Purple)	TheTidbit presents a beautifully handcrafted jute handbag designed for women who appreciate sustainable and stylish fashion. Made from 100% natural jute, this eco-friendly handbag is lightweight, durable, and perfect for everyday use. The elegant purple color combined with handcrafted striped detailing and fringe accents adds a unique and fashionable touch. Its spacious interior allows you to carry daily essentials such as mobile phone, wallet, keys, cosmetics, and more with ease. Designed for comfort and versatility, this jute shoulder bag is ideal for office, college, shopping, casual outings, travel, and gifting. Choose TheTidbit jute bags to embrace eco-conscious fashion with timeless style.	0303FRRXNXA	5Z-ZXQ0-8E8V-PURPLE	799	5	2025-03-03 23:52:11 IST		y	1			11				B0DZ43SM2X						B0DZ43SM2X			0	DEFAULT														Migrated Template								1199.0
TheTidbit Jute Sling Bag, Scalloped Design, Chain Strap Crossbody Purse for Women, Multiple Colours	TheTidbit presents a stylish handmade jute clutch bag designed for women who love sustainable and elegant fashion. Made from natural jute fiber, this eco-friendly clutch bag is lightweight, durable, and perfect for both casual and party use. Featuring a classic black color with handcrafted detailing, this bag adds a sophisticated touch to your outfit. The metal chain strap allows easy conversion into a sling or shoulder bag, offering versatility and comfort. Its compact size is ideal for carrying essentials like mobile phone, wallet, cards, and keys. Whether you are heading to a party, casual outing, festive event, or looking for a thoughtful gift, this handmade jute clutch bag is a perfect choice.	0303FR8F0GU	A4-XDSL-8KID	599	5	2025-03-03 18:55:26 IST		y	1			11				B0DZ2TNYSF						B0DZ2TNYSF			0	DEFAULT														Selected Self-Ship Template								1199.0
TheTidbit Handmade Jute Clutch Bag for Women | Eco Friendly Sling Bag with Metal Chain Strap | Handcrafted Jute Purse for Party & Casual Use (Black)	TheTidbit presents a stylish handmade jute clutch bag designed for women who love sustainable and elegant fashion. Made from natural jute fiber, this eco-friendly clutch bag is lightweight, durable, and perfect for both casual and party use. Featuring a classic black color with handcrafted detailing, this bag adds a sophisticated touch to your outfit. The metal chain strap allows easy conversion into a sling or shoulder bag, offering versatility and comfort. Its compact size is ideal for carrying essentials like mobile phone, wallet, cards, and keys. Whether you are heading to a party, casual outing, festive event, or looking for a thoughtful gift, this handmade jute clutch bag is a perfect choice.	0404FGFMZPM	A4-XDSL-8KID-BLACK	599	5	2025-04-04 17:35:04 IST		y	1			11				B0F3PC8Y4X						B0F3PC8Y4X			0	DEFAULT														Migrated Template								1199.0
TheTidbit Handmade Jute Sling Bag for Women | Crossbody Bag with Chain Strap | Textured Pattern Design (Blue)	Looking for a thoughtful and stylish gift for someone special? TheTidbit Handmade Jute Sling Bag for Women is a perfect blend of elegance, practicality, and sustainable fashion. Carefully handcrafted using high-quality natural jute, this crossbody bag features a beautiful textured woven design that adds a unique charm. The premium chain strap allows comfortable shoulder or crossbody wear, making it suitable for daily use as well as special occasions. Designed to be compact yet functional, this jute sling bag easily fits everyday essentials such as a mobile phone, wallet, keys, cosmetics, and small accessories. The secure flap closure keeps belongings protected while enhancing the bag’s stylish appeal. Whether you are gifting it for a birthday, festival, anniversary, or simply as a thoughtful surprise, this handcrafted jute sling bag makes a meaningful and practical gift. It pairs effortlessly with ethnic wear, western outfits, and casual looks, making it a versatile addition to any wardrobe.	0313FK1UCXE	EH-T8P7-B7SV	589	10	2025-03-13 12:46:32 IST		y	1			11				B0F1CSJ29D						B0F1CSJ29D			0	DEFAULT														Selected Self-Ship Template								799.0
TheTidbit Handmade Jute Sling Bag for Women | Crossbody Bag with Chain Strap | Textured Pattern Design (Grey)	Looking for a thoughtful and stylish gift for someone special? TheTidbit Handmade Jute Sling Bag for Women is a perfect blend of elegance, practicality, and sustainable fashion. Carefully handcrafted using high-quality natural jute, this crossbody bag features a beautiful textured woven design that adds a unique charm. The premium chain strap allows comfortable shoulder or crossbody wear, making it suitable for daily use as well as special occasions. Designed to be compact yet functional, this jute sling bag easily fits everyday essentials such as a mobile phone, wallet, keys, cosmetics, and small accessories. The secure flap closure keeps belongings protected while enhancing the bag’s stylish appeal. Whether you are gifting it for a birthday, festival, anniversary, or simply as a thoughtful surprise, this handcrafted jute sling bag makes a meaningful and practical gift. It pairs effortlessly with ethnic wear, western outfits, and casual looks, making it a versatile addition to any wardrobe.	0313FK0Q65Y	EH-T8P7-B7SV-GREY	589	4	2025-03-13 12:54:47 IST		y	1			11				B0F1CVXBRX						B0F1CVXBRX			0	DEFAULT														Migrated Template								799.0
TheTidbit Handmade Jute Sling Bag for Women | Crossbody Bag with Chain Strap | Textured Pattern Design (Pink)	Looking for a thoughtful and stylish gift for someone special? TheTidbit Handmade Jute Sling Bag for Women is a perfect blend of elegance, practicality, and sustainable fashion. Carefully handcrafted using high-quality natural jute, this crossbody bag features a beautiful textured woven design that adds a unique charm. The premium chain strap allows comfortable shoulder or crossbody wear, making it suitable for daily use as well as special occasions. Designed to be compact yet functional, this jute sling bag easily fits everyday essentials such as a mobile phone, wallet, keys, cosmetics, and small accessories. The secure flap closure keeps belongings protected while enhancing the bag’s stylish appeal. Whether you are gifting it for a birthday, festival, anniversary, or simply as a thoughtful surprise, this handcrafted jute sling bag makes a meaningful and practical gift. It pairs effortlessly with ethnic wear, western outfits, and casual looks, making it a versatile addition to any wardrobe.	0313FJWX754	EH-T8P7-B7SV-PINK	589	7	2025-03-13 12:54:47 IST		y	1			11				B0F1CY34VF						B0F1CY34VF			0	DEFAULT														Migrated Template								799.0
